Date,Time,FishID,TL,FL,Mass,Treatment,mAPSU,mAMultimeter,TENS,Count1,Sequences1,Count2,Sequences2,Count2Latency,Count2Prod,Temperature,Notes
03/04/2024,10:01,1,247,218,58.9,Control,NA,NA,NA,0,0,0,0,NA,NA,16,
03/04/2024,10:10,2,257,224,61.6,TENS,NA,NA,3.5,7,NA,2,NA,0,NA,15.6,Barbels erect
03/04/2024,10:22,3,268,237,80.6,PSU,NA,NA,NA,0,0,1,1,45,NA,15.4,
03/04/2024,10:45,4,269,238,80.2,Control,NA,NA,NA,1,1,0,0,NA,NA,15.6,
03/04/2024,10:51,5,249,218,53.1,TENS,NA,NA,3,1,1,0,0,NA,NA,15.6,Fish curved
03/04/2024,13:02,6,269,235,75.1,PSU,33,34,NA,2,NA,7,NA,35,1,15.1,
03/04/2024,13:13,7,260,228,70.7,Control,NA,NA,NA,1,1,0,NA,NA,NA,15.1,Fish a bit curved
03/04/2024,13:19,8,275,239,78.4,TENS,NA,NA,3,0,0,0,NA,NA,NA,15,
03/04/2024,13:27,9,265,232,73.8,PSU,28,30,NA,1,1,9,NA,15,1,15.1,Fin twitching
03/04/2024,13:38,10,227,198,45.3,Control,NA,NA,NA,4,1,0,0,NA,NA,14.7,Movements happened at start
03/04/2024,13:45,11,244,212,47.3,TENS,NA,NA,3,0,0,0,0,NA,NA,14.8,"Got ""TENSed"" twice; moved with current increase, still twitching"
03/04/2024,13:54,12,236,208,49.9,PSU,31,35,NA,1,1,0,0,NA,NA,15,Movement when multimeter testing
03/04/2024,14:06,13,281,241,79.3,Control,NA,NA,NA,0,0,8,1,50,1,14.7,
03/04/2024,14:13,14,268,236,71.3,TENS,NA,NA,3,0,0,0,0,NA,NA,14.7,PIT # missing 3rd or 4th last digit; fish curved/bending during trial
03/04/2024,14:21,15,234,206,46.4,PSU,27,31,NA,1,1,0,0,NA,NA,14.7,"""Off-sliming"" (white film/thing coming off of gloves with PSU only???)"
03/04/2024,14:34,16,237,209,53,Control,NA,NA,NA,1,1,3,1,2,0,14.8,
03/04/2024,14:40,17,265,230,66.9,TENS,NA,NA,3.5,1,1,10,4,37,0,14.8,Kind of twitching; sequence: 1-1-2-6
03/04/2024,14:47,18,252,220,57.3,PSU,37,41,NA,0,0,0,0,NA,NA,NA,"""Off-sliming"""
03/04/2024,15:08,19,258,226,59.9,Control,NA,NA,NA,0,0,0,0,NA,NA,14.7,
03/04/2024,15:16,20,264,232,65.8,TENS,NA,NA,3.5,0,0,0,0,NA,NA,14.7,
03/04/2024,15:22,21,270,234,67.5,PSU,29,NA,NA,0,0,0,0,NA,NA,14.8,"""Off-sliming"""
03/04/2024,15:37,22,265,231,66.4,Control,NA,NA,NA,0,0,4,1,NA,NA,14.6,
03/04/2024,15:42,23,237,208,47.5,TENS,NA,NA,3.5,0,0,0,0,NA,NA,14.6,
03/04/2024,15:49,24,248,219,59.1,PSU,73,NA,NA,NA,NA,NA,NA,NA,NA,14.7,PSU maxed out (30 V)
03/04/2024,16:11,25,218,199,40.8,Control,NA,NA,NA,8,2,0,0,NA,NA,14.6,Sequence: 6-2
03/04/2024,16:18,26,228,200,42.7,TENS,NA,NA,3.5,0,0,0,0,NA,NA,14.6,Fish bending/flexing mildly back and forth
03/04/2024,16:38,27,280,245,81.1,PSU,36,NA,NA,7,1,0,0,NA,NA,14.8,"Maxed out on 1st try, new gloves used and test #2 recorded"
04/04/2024,08:34,28,232,203,45,Control,NA,NA,NA,1,1,0,0,NA,NA,14.7,
04/04/2024,08:40,29,217,193,40.7,TENS,NA,NA,3.5,0,0,0,0,NA,NA,14.7,
04/04/2024,08:46,30,227,218,43.8,PSU,58,Error,NA,6,2,0,0,NA,NA,14.7,"""Off-sliming"""
04/04/2024,08:58,31,234,208,46.9,Control,NA,NA,NA,0,0,0,0,NA,NA,14.5,
04/04/2024,09:03,32,242,215,51.8,TENS,NA,NA,3,0,0,0,0,NA,NA,14.5,
04/04/2024,09:09,33,233,204,46.1,PSU,9,Error,NA,8,1,5,4,52,0,14.5,1-2-1-1
04/04/2024,09:25,34,248,217,51.8,Control,NA,NA,NA,6,3,7,1,32,0,14.5,
04/04/2024,09:31,35,229,200,43.8,TENS,NA,NA,3,0,0,0,0,NA,NA,14.5,Shaking a bit
04/04/2024,09:38,36,249,219,56.1,PSU,13,6.8,NA,0,0,7,2,17,0,14.6,5+2
04/04/2024,09:48,37,231,205,49.6,Control,NA,NA,NA,0,0,8,2,5,1,14.5,1+7
04/04/2024,09:53,38,222,194,38.5,TENS,NA,NA,3.5,0,0,0,0,NA,NA,14.6,
04/04/2024,09:59,39,221,193,45.6,PSU,19,16,NA,10,1,0,0,NA,NA,14.6,Maxed but reached tetany; Multimeter reading fluctuating ~+/-3 mA
04/04/2024,10:09,40,245,212,52.8,Control,NA,NA,NA,0,0,0,0,NA,NA,14.5,Longer pre-handling with the gloves in the bin
04/04/2024,10:13,41,260,226,63,TENS,NA,NA,4,0,0,0,0,NA,NA,14.5,"Maxed twice and no effect, switched to new gloves for data here"
04/04/2024,10:24,42,249,218,52.4,PSU,50,NA,NA,NA,NA,NA,NA,NA,NA,14.5,"Maxed twice, tried new handling/position and no effect"
04/04/2024,10:38,43,260,228,62.7,Control,NA,NA,NA,0,0,5,1,5,0,14.5,Didn't get to poke at 5 s
04/04/2024,10:44,44,271,240,68.6,TENS,NA,NA,3.5,0,0,0,0,NA,NA,14.4,
04/04/2024,10:50,45,278,244,78.4,PSU,32,Error,NA,0,0,0,0,NA,NA,14.5,"High resistance, so gloves changed and fish restarted"
04/04/2024,11:04,46,258,229,63.9,Control,NA,NA,NA,0,0,0,0,NA,NA,14.5,
04/04/2024,11:09,47,222,196,40.1,TENS,NA,NA,6.5,0,0,6,2,14,0,14.5,3+3; gloves adjusted in part 2
04/04/2024,11:16,48,251,222,62.4,PSU,80,Error,NA,NA,NA,NA,NA,NA,NA,14.6,"Went very high (>80 mA), and was high even out of water"
